Species,Sex (if known),Age (if known),Start Time(seconds),End Time(seconds),Type of Call,Quality of Segment,Notes
Domestic Cat,Female ,Adult ,1.3,4.794,hiss,0,
Domestic Cat,Female ,Adult ,9.3,10.653,call,1,
Domestic Cat,Female ,Adult ,25.8,26.558,hiss,1,
Domestic Cat,Female ,Adult ,30.1,30.936,call,1,
Domestic Cat,Female ,Adult ,33.3,37.503,unknown,3,
Domestic Cat,Female ,Adult ,38.1,43.631,call,0,
Domestic Cat,Female ,Adult ,45.4,50.344,growl?,1,
Domestic Cat,Female ,Adult ,54.1,55.761,call,0,
Domestic Cat,Female ,Adult ,59.4,60.559,call,1,
Domestic Cat,Female ,Adult ,64.2,65.812,call,1,
Domestic Cat,Female ,Adult ,73.4,74.276,call,1,
Domestic Cat,Female ,Adult ,77.8,78.945,call,1,
Domestic Cat,Female ,Adult ,81.9,82.885,call,0,
Domestic Cat,Female ,Adult ,86.1,87.701,hiss,0,
Domestic Cat,Female ,Adult ,89.7,103.169,growl/hiss,1,
Domestic Cat,Female ,Adult ,105.8,107.692,call,0,
Domestic Cat,Female ,Adult ,108.9,115.426,call,0,
Domestic Cat,Female ,Adult ,116.6,131.77,call sequence,0,
Domestic Cat,Female ,Adult ,134.7,136.44,call,0,
Domestic Cat,Female ,Adult ,137.2,147.968,call sequence,0,
Domestic Cat,Female ,Adult ,149.7,164.457,call sequence,0,
Domestic Cat,Female ,Adult ,167.6,181.013,call sequence,0,
