Zero_Crossings,Duration,Amp_range,Avg_amp,Freq_range,Pulses_per_Sec,Partials,MFCC,Spectral Rolloff,Melspectrogram,Spectral Contrast,Chroma_StFt,Tonnetz,Sex,Age,Species,Call
-0.7560871577458964,-0.8785390181995685,-0.592360715798298,-0.17196945775105685,-1.178823760164233,-0.5804447440523438,-0.5641860824842486,0.7686457495613451,-1.0715208237910423,0.101743645966053,18.307605232339,0.7344370484352112,-0.0068761297408749,Unknown,Adult,A. jubatus,growl
-0.46068723255571514,-0.054575009908413394,0.8306246742827279,0.9223310170149775,-0.26672887964515474,-0.2968927674642987,1.3051717207601712,1.0418350752643601,-1.1417853429369784,0.6259900331497192,18.52377717704234,0.6822539567947388,-0.0114244214190927,Unknown,Adult,A. jubatus,
-0.5113886015338117,0.22007965952197164,-0.001115834033838669,0.21807791491862488,-0.7439525710180859,-0.5130215527896647,0.026137434329778716,0.8990727052066666,-1.314603077369282,0.2144919037818908,18.6769029370594,0.6643940210342407,0.0058790105892824,Unknown,Adult,A. jubatus,growl
-0.4980687503615999,0.22007965952197164,0.48013152714039375,0.25580209448288294,-0.33470806913156326,-0.5040317939546408,0.32129919273679236,0.8242807297909701,-1.2219924610855004,0.2793972194194793,18.298732283339373,0.7314589619636536,0.0059059948397099,Unknown,Adult,A. jubatus,
-0.6257889361983728,-0.32922967933879843,0.1510772323084361,0.5760888582264926,-0.7416050882156775,-0.4785608105887398,-0.2690243240772349,0.9257854536536789,-1.3474683112778518,0.370893657207489,18.787421765730397,0.6324962377548218,-0.0007781065412323,Unknown,Adult,A. jubatus,growl
-0.3246958488136171,1.8680076761042819,-0.042414802544650916,0.004691387367803103,-0.6908911605020324,-0.6771527557624493,0.32129919273679236,0.7612788403756857,-1.3557234566271066,0.1442826688289642,18.305327823693965,0.7547435164451599,0.0111234169535924,Unknown,Adult,A. jubatus,growl
-0.23242365399966597,2.6919716843954373,0.2956635705772862,-0.14034426020012888,-0.6939800650914209,-0.7476114500083832,0.026137434329778716,0.7846744549928435,-1.2477221057596106,0.1298198848962783,17.947574820662688,0.736068606376648,-0.0089849105434859,Unknown,Adult,A. jubatus,growl
-0.6956107366978702,-0.6038843487691835,-0.10305739269821995,-0.32155150724752174,-1.1064430404233088,-0.7392638168044325,-0.3674115768795728,0.6833818458170441,-0.8355225321247015,0.0894169211387634,17.334572345934433,0.797096848487854,-0.0073456532893615,Unknown,Adult,A. jubatus,growl
-0.7680105729081182,-0.8785390181995685,-0.7396019117121646,-0.3810738945068082,-1.1641519926491808,-0.6343832970624872,-0.6625733352865865,0.6949616542840963,-0.8335059071876049,0.0577656477689743,18.209527090568844,0.7881584167480469,0.0003556783483879,Unknown,Adult,A. jubatus,
-0.5803510567963922,0.22007965952197164,-0.5614450191635134,-0.29143031621936305,-0.8013354839658455,-0.7290754234580721,-0.2690243240772349,0.618141767541947,-0.9509456179552765,0.0758429020643234,18.523278800942293,0.7119421362876892,0.0173847303881938,Unknown,Adult,A. jubatus,growl
-0.6299782442283427,0.22007965952197164,-0.6409892107185587,-0.16812510292316885,-0.7858812221833239,-0.7929027111867416,-0.3674115768795728,0.8355471504816938,-0.9229339103080069,0.0968300923705101,18.01990339936249,0.817211389541626,0.0003727837253705,Unknown,Adult,A. jubatus,growl
