Species ,Sex (if known),Age (if known),Start Time,End Time,Type of Call,Quality of Segment,Notes
L. lynx,Female,Adult,1,4,call?,,
L. lynx,Female,Adult,5,10,growl,,
L. lynx,Female,Adult,16,19,growl,,
L. lynx,Female,Adult,20,21,roar,,
L. lynx,Female,Adult,25,30,growl,,
L. lynx,Female,Adult,32,38,growl,,
L. lynx,Female,Adult,40,45,growl,,
L. lynx,Female,Adult,49,56,growl,,
L. lynx,Female,Adult,56,64,growl,,
L. lynx,Female,Adult,79,81,growl,,
L. lynx,Female,Adult,84,87,growl,,
L. lynx,Female,Adult,89,92,growl,,
L. lynx,Female,Adult,97,102,growl,,
L. lynx,Female,Adult,107,108,roar,,
L. lynx,Female,Adult,109,114,growl,,
L. lynx,Female,Adult,116,120,growl,,
L. lynx,Female,Adult,123,130,growl,,
L. lynx,Female,Adult,141,144,growl,,
