Species ,Sex (if known),Age (if known),Start Time,End Time,Type of Call,Quality of Segment,Notes
A. jubatus,P,A,1,8,,0,
A. jubatus,P,A,12,13,,0,
A. jubatus,P,A,18,27,growl?,1,
A. jubatus,P,A,30,32,growl?,0,
A. jubatus,P,A,40,41,growl?,0,
A. jubatus,P,A,43,48,growl?,0,
A. jubatus,P,A,50,58,growl?,1,almost sounds like purring
A. jubatus,P,A,60,66,growl?,1,
A. jubatus,P,A,70,72,growl?,0,
A. jubatus,P,A,74,75,growl?,0,
A. jubatus,P,A,77,79,growl?,0,
A. jubatus,P,A,80,96,growl,0,
A. jubatus,P,A,97,102,growl,0,the other animal is making a different sound during this clip
A. jubatus,P,A,103,105,,0,
